dataset,tag,total,correct,wrong,tag_accuracy
Mosquitto_baseline,-1,5700,5697,3,0.9994736842105263
Mosquitto_baseline,1,100,98,2,0.98
Mosquitto_baseline,2,100,62,38,0.62
Mosquitto_baseline,3,50,50,0,1.0
Mosquitto_baseline,4,900,898,2,0.9977777777777778
Mosquitto_baseline,5,50,50,0,1.0
Mosquitto_baseline,6,150,150,0,1.0
Mosquitto_baseline,8,200,200,0,1.0
Mosquitto_baseline,9,100,100,0,1.0
Mosquitto_baseline,10,100,100,0,1.0
Mosquitto_baseline,11,100,96,4,0.96
Mosquitto_baseline,12,100,100,0,1.0
Mosquitto_baseline,13,100,99,1,0.99
Mosquitto_baseline,14,78,73,5,0.9358974358974359
Mosquitto_baseline,15,200,200,0,1.0
Mosquitto_baseline,16,200,200,0,1.0
Mosquitto_baseline,17,100,100,0,1.0
Mosquitto_baseline,18,100,100,0,1.0
Mosquitto_baseline,19,100,100,0,1.0
Mosquitto_baseline,20,100,100,0,1.0
Mosquitto_baseline,21,150,150,0,1.0
Mosquitto_baseline,22,100,94,6,0.94
Mosquitto_baseline,23,100,100,0,1.0
Mosquitto_baseline,24,100,100,0,1.0
Mosquitto_baseline,25,50,50,0,1.0
Mosquitto_baseline,26,50,50,0,1.0
Mosquitto_baseline,27,50,50,0,1.0
Mosquitto_baseline,28,50,50,0,1.0
Mosquitto_baseline,29,50,50,0,1.0
Mosquitto_baseline,30,50,50,0,1.0
Mosquitto_baseline,32,100,98,2,0.98
EMQX,-1,1660,1659,1,0.9993975903614458
EMQX,1,20,15,5,0.75
EMQX,2,20,20,0,1.0
EMQX,3,20,20,0,1.0
EMQX,4,200,167,33,0.835
EMQX,5,20,20,0,1.0
EMQX,6,60,53,7,0.8833333333333333
EMQX,8,80,75,5,0.9375
EMQX,9,40,40,0,1.0
EMQX,10,40,40,0,1.0
EMQX,11,20,17,3,0.85
EMQX,12,20,20,0,1.0
EMQX,13,20,13,7,0.65
EMQX,14,20,19,1,0.95
EMQX,15,80,80,0,1.0
EMQX,16,80,80,0,1.0
EMQX,17,40,40,0,1.0
EMQX,18,20,12,8,0.6
EMQX,19,20,20,0,1.0
EMQX,20,20,20,0,1.0
EMQX,21,60,60,0,1.0
EMQX,22,20,12,8,0.6
EMQX,23,20,20,0,1.0
EMQX,24,20,20,0,1.0
EMQX,25,20,20,0,1.0
EMQX,26,20,20,0,1.0
EMQX,27,20,20,0,1.0
EMQX,28,20,20,0,1.0
EMQX,29,20,20,0,1.0
EMQX,30,20,20,0,1.0
EMQX,32,20,20,0,1.0
Final-NanSET,-1,1660,1660,0,1.0
Final-NanSET,1,20,16,4,0.8
Final-NanSET,2,20,16,4,0.8
Final-NanSET,3,20,20,0,1.0
Final-NanSET,4,200,189,11,0.945
Final-NanSET,5,20,15,5,0.75
Final-NanSET,6,60,60,0,1.0
Final-NanSET,8,80,80,0,1.0
Final-NanSET,9,40,40,0,1.0
Final-NanSET,10,40,40,0,1.0
Final-NanSET,11,20,19,1,0.95
Final-NanSET,12,20,20,0,1.0
Final-NanSET,13,20,19,1,0.95
Final-NanSET,14,20,19,1,0.95
Final-NanSET,15,80,80,0,1.0
Final-NanSET,16,80,80,0,1.0
Final-NanSET,17,40,40,0,1.0
Final-NanSET,18,20,20,0,1.0
Final-NanSET,19,20,20,0,1.0
Final-NanSET,20,20,20,0,1.0
Final-NanSET,21,60,60,0,1.0
Final-NanSET,22,20,20,0,1.0
Final-NanSET,23,20,20,0,1.0
Final-NanSET,24,20,20,0,1.0
Final-NanSET,25,20,20,0,1.0
Final-NanSET,26,20,20,0,1.0
Final-NanSET,27,20,12,8,0.6
Final-NanSET,28,20,20,0,1.0
Final-NanSET,29,20,20,0,1.0
Final-NanSET,30,20,20,0,1.0
Final-NanSET,32,20,20,0,1.0
