tag,correct_EMQX,correct_Final-NanSET,correct_Mosquitto_baseline,tag_accuracy_EMQX,tag_accuracy_Final-NanSET,tag_accuracy_Mosquitto_baseline,total_EMQX,total_Final-NanSET,total_Mosquitto_baseline,wrong_EMQX,wrong_Final-NanSET,wrong_Mosquitto_baseline
-1,1659.0,1660.0,5697.0,0.9993975903614458,1.0,0.9994736842105263,1660.0,1660.0,5700.0,1.0,0.0,3.0
1,15.0,16.0,98.0,0.75,0.8,0.98,20.0,20.0,100.0,5.0,4.0,2.0
2,20.0,16.0,62.0,1.0,0.8,0.62,20.0,20.0,100.0,0.0,4.0,38.0
3,20.0,20.0,50.0,1.0,1.0,1.0,20.0,20.0,50.0,0.0,0.0,0.0
4,167.0,189.0,898.0,0.835,0.945,0.9977777777777778,200.0,200.0,900.0,33.0,11.0,2.0
5,20.0,15.0,50.0,1.0,0.75,1.0,20.0,20.0,50.0,0.0,5.0,0.0
6,53.0,60.0,150.0,0.8833333333333333,1.0,1.0,60.0,60.0,150.0,7.0,0.0,0.0
8,75.0,80.0,200.0,0.9375,1.0,1.0,80.0,80.0,200.0,5.0,0.0,0.0
9,40.0,40.0,100.0,1.0,1.0,1.0,40.0,40.0,100.0,0.0,0.0,0.0
10,40.0,40.0,100.0,1.0,1.0,1.0,40.0,40.0,100.0,0.0,0.0,0.0
11,17.0,19.0,96.0,0.85,0.95,0.96,20.0,20.0,100.0,3.0,1.0,4.0
12,20.0,20.0,100.0,1.0,1.0,1.0,20.0,20.0,100.0,0.0,0.0,0.0
13,13.0,19.0,99.0,0.65,0.95,0.99,20.0,20.0,100.0,7.0,1.0,1.0
14,19.0,19.0,73.0,0.95,0.95,0.9358974358974359,20.0,20.0,78.0,1.0,1.0,5.0
15,80.0,80.0,200.0,1.0,1.0,1.0,80.0,80.0,200.0,0.0,0.0,0.0
16,80.0,80.0,200.0,1.0,1.0,1.0,80.0,80.0,200.0,0.0,0.0,0.0
17,40.0,40.0,100.0,1.0,1.0,1.0,40.0,40.0,100.0,0.0,0.0,0.0
18,12.0,20.0,100.0,0.6,1.0,1.0,20.0,20.0,100.0,8.0,0.0,0.0
19,20.0,20.0,100.0,1.0,1.0,1.0,20.0,20.0,100.0,0.0,0.0,0.0
20,20.0,20.0,100.0,1.0,1.0,1.0,20.0,20.0,100.0,0.0,0.0,0.0
21,60.0,60.0,150.0,1.0,1.0,1.0,60.0,60.0,150.0,0.0,0.0,0.0
22,12.0,20.0,94.0,0.6,1.0,0.94,20.0,20.0,100.0,8.0,0.0,6.0
23,20.0,20.0,100.0,1.0,1.0,1.0,20.0,20.0,100.0,0.0,0.0,0.0
24,20.0,20.0,100.0,1.0,1.0,1.0,20.0,20.0,100.0,0.0,0.0,0.0
25,20.0,20.0,50.0,1.0,1.0,1.0,20.0,20.0,50.0,0.0,0.0,0.0
26,20.0,20.0,50.0,1.0,1.0,1.0,20.0,20.0,50.0,0.0,0.0,0.0
27,20.0,12.0,50.0,1.0,0.6,1.0,20.0,20.0,50.0,0.0,8.0,0.0
28,20.0,20.0,50.0,1.0,1.0,1.0,20.0,20.0,50.0,0.0,0.0,0.0
29,20.0,20.0,50.0,1.0,1.0,1.0,20.0,20.0,50.0,0.0,0.0,0.0
30,20.0,20.0,50.0,1.0,1.0,1.0,20.0,20.0,50.0,0.0,0.0,0.0
32,20.0,20.0,98.0,1.0,1.0,0.98,20.0,20.0,100.0,0.0,0.0,2.0
