tag,class_name,f1_EMQX,f1_MQTT,f1_Nano,precision_EMQX,precision_MQTT,precision_Nano,recall_EMQX,recall_MQTT,recall_Nano,support_EMQX,support_MQTT,support_Nano,drop_f1_EMQX,drop_f1_Nano,drop_recall_EMQX,drop_recall_Nano
-1,Normal,0.9799173065564087,0.9966759972008398,0.9596153846153846,0.9611819235225956,0.993893928820656,0.924074074074074,0.9993975903614458,0.9994736842105263,0.998,1660.0,5700.0,500.0,0.01675869064443103,0.03706061258545512,7.60938490804719e-05,0.0014736842105262937
3,Tag_3,0.8888888888888888,1.0,0.3333333333333333,1.0,1.0,1.0,0.8,1.0,0.2,20.0,50.0,20.0,0.11111111111111116,0.6666666666666667,0.19999999999999996,0.8
4,Tag_4,0.5103734439834025,0.9994441356309061,0.7795698924731183,0.43617021276595747,1.0,0.8430232558139535,0.615,0.9988888888888889,0.725,200.0,900.0,200.0,0.4890706916475036,0.2198742431577878,0.38388888888888895,0.27388888888888896
5,Tag_5,1.0,1.0,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,0.75,20.0,50.0,20.0,0.0,0.1428571428571429,0.0,0.25
6,Tag_6,0.8349514563106796,1.0,0.8489208633093526,1.0,1.0,0.7468354430379747,0.7166666666666667,1.0,0.9833333333333333,60.0,150.0,60.0,0.16504854368932043,0.15107913669064743,0.2833333333333333,0.01666666666666672
8,Tag_8,0.5535714285714286,1.0,0.9523809523809523,0.96875,1.0,0.9090909090909091,0.3875,1.0,1.0,80.0,200.0,80.0,0.4464285714285714,0.04761904761904767,0.6125,0.0
12,Tag_12,0.0,1.0,0.8888888888888888,0.0,1.0,0.8,0.0,1.0,1.0,20.0,100.0,20.0,1.0,0.11111111111111116,1.0,0.0
15,Tag_15,0.6666666666666666,1.0,0.8571428571428571,1.0,1.0,1.0,0.5,1.0,0.75,80.0,200.0,80.0,0.33333333333333337,0.1428571428571429,0.5,0.25
16,Tag_16,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,80.0,200.0,80.0,0.33333333333333337,0.0,0.5,0.0
17,Tag_17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,40.0,100.0,40.0,0.0,0.0,0.0,0.0
18,Tag_18,0.9743589743589743,1.0,1.0,1.0,1.0,1.0,0.95,1.0,1.0,20.0,100.0,20.0,0.02564102564102566,0.0,0.050000000000000044,0.0
19,Tag_19,0.8888888888888888,1.0,0.926829268292683,1.0,1.0,0.9047619047619048,0.8,1.0,0.95,20.0,100.0,20.0,0.11111111111111116,0.07317073170731703,0.19999999999999996,0.050000000000000044
20,Tag_20,0.8235294117647058,1.0,0.9743589743589743,1.0,1.0,1.0,0.7,1.0,0.95,20.0,100.0,20.0,0.17647058823529416,0.02564102564102566,0.30000000000000004,0.050000000000000044
21,Tag_21,0.6304347826086957,0.967741935483871,0.9230769230769231,0.90625,0.9375,0.8571428571428571,0.48333333333333334,1.0,1.0,60.0,150.0,60.0,0.3373071528751753,0.04466501240694787,0.5166666666666666,0.0
22,Tag_22,0.6666666666666666,0.9746192893401016,0.7407407407407407,0.75,0.9896907216494846,0.5882352941176471,0.6,0.96,1.0,20.0,100.0,20.0,0.30795262267343493,0.23387854859936086,0.36,-0.040000000000000036
23,Tag_23,0.9743589743589743,1.0,0.975609756097561,1.0,1.0,0.9523809523809523,0.95,1.0,1.0,20.0,100.0,20.0,0.02564102564102566,0.024390243902439046,0.050000000000000044,0.0
24,Tag_24,0.7878787878787878,0.9473684210526315,0.7647058823529411,1.0,1.0,0.9285714285714286,0.65,0.9,0.65,20.0,100.0,20.0,0.15948963317384368,0.1826625386996904,0.25,0.25
25,Tag_25,0.047619047619047616,1.0,0.8,0.045454545454545456,1.0,0.9333333333333333,0.05,1.0,0.7,20.0,50.0,20.0,0.9523809523809523,0.19999999999999996,0.95,0.30000000000000004
26,Tag_26,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,20.0,50.0,20.0,0.0,1.0,0.0,1.0
27,Tag_27,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,20.0,50.0,20.0,0.0,1.0,0.0,1.0
28,Tag_28,0.6666666666666666,1.0,0.6896551724137931,0.5,1.0,0.5263157894736842,1.0,1.0,1.0,20.0,50.0,20.0,0.33333333333333337,0.31034482758620685,0.0,0.0
29,Tag_29,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,20.0,50.0,20.0,1.0,0.0,1.0,0.0
30,Tag_30,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,20.0,50.0,20.0,1.0,1.0,1.0,1.0
