tcp.stream,second_connect_detected,reaction_pass,first_broker_msg_after_2nd_connect
2180,1,1,14
2181,1,1,14
2182,1,1,14
2183,1,1,14
2184,1,1,14
2185,1,1,14
2186,1,1,14
2187,1,1,14
2188,1,1,14
2189,1,1,14
2190,1,1,14
2191,1,1,14
2192,1,1,14
2193,1,1,14
2194,1,1,14
2195,1,1,14
2196,1,1,14
2197,1,1,14
2198,1,1,14
2199,1,1,14
2200,1,0,2
2201,1,0,2
2202,1,0,2
2203,1,0,2
2204,1,0,2
2205,1,0,2
2206,1,0,2
2207,1,0,2
2208,1,0,2
2209,1,1,14
2210,1,0,2
2211,1,0,2
2212,1,0,2
2213,1,0,2
2214,1,0,2
2215,1,0,2
2216,1,0,2
2217,1,0,2
2218,1,0,2
2219,1,0,2
