frame.number,time.delta.prevPkt,ping.missed,kalive.Violated,Direction,tcp.stream,mqtt.len,mqtt.hdrflags,mqtt.msgtype,mqtt.hdr_reserved,mqtt.dupflag,mqtt.qos,mqtt.retain,mqtt.conack.flags.reserved,mqtt.conack.flags,mqtt.conack.flags.sp,mqtt.msgid,mqtt.topic_len,mqtt.topic,mqtt.topic.null,mqtt.topic.invalidUTF,mqtt.topic.empty,mqtt.topic.wildcard,mqtt.willtopic_len,mqtt.willtopic.null,mqtt.willtopic.empty,mqtt.willtopic.wildcard,mqtt.willmsg_len,mqtt.msg.empty,mqtt.proto_len,mqtt.protoname,mqtt.clientid_len,mqtt.clientid,mqtt.ver,mqtt.conflags,mqtt.conflag.retain,mqtt.conflag.qos,mqtt.conflag.willflag,mqtt.conflag.cleansess,mqtt.conflag.reserved,mqtt.kalive,mqtt.subscription_options,mqtt.subscription_options_qos,mqtt.subscription_options_nl,mqtt.subscription_options_rap,mqtt.subscription_options_retain,mqtt.subscription_options_reserved,mqtt.connack.reason_code,mqtt.puback.reason_code,mqtt.suback.reason_code,mqtt.unsuback.reason_code,mqtt.disconnect.reason_code,Target,TAG,Des
152,0,0,0,0,0,89,16,1,0,,,,,,,,,,,,,,,,,,,,4,MQTT,15,MIX_FULL_MIX_15,5,194,FALSE,0,FALSE,TRUE,FALSE,29,,,,,,,,,,,,0,,
181,0.008909,0,0,1,0,19,32,2,0,,,,FALSE,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,
280,0.024431,0,0,0,0,37,162,10,2,,,,,,,65526,32,hospital/vital/hr/sensor_rand_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
322,0.004505,0,0,1,0,4,176,11,0,,,,,,,65526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,0,,
578,1.101277,0,0,0,0,105,48,3,,FALSE,0,FALSE,,,,,38,hospital/status/battery/sensor_rand_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
712,0.798672,0,0,0,0,99,49,3,,FALSE,0,TRUE,,,,,38,hospital/status/battery/sensor_rand_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
786,0.795885,0,0,0,0,99,49,3,,FALSE,0,TRUE,,,,,38,hospital/status/battery/sensor_rand_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
1828,6.922044,0,0,0,0,37,162,10,2,,,,,,,65526,32,hospital/vital/hr/sensor_rand_20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
1829,0.002742,0,0,1,0,4,176,11,0,,,,,,,65526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,0,,
1982,0.873575,0,0,0,0,40,130,8,2,,,,,,,65526,32,hospital/vital/hr/sensor_rand_21,,,,,,,,,,,,,,,,,,,,,,,0,0,FALSE,FALSE,0,0,,,,,,0,,
1983,0.00319,0,0,1,0,4,144,9,0,,,,,,,65526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,
2920,7.732688,0,0,0,0,40,130,8,2,,,,,,,65526,32,hospital/vital/hr/sensor_rand_23,,,,,,,,,,,,,,,,,,,,,,,0,0,FALSE,FALSE,0,0,,,,,,0,,
2921,0.004627,0,0,1,0,4,144,9,0,,,,,,,65526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,
